feature_name,feature_mean,child1_B,child1_M,child1_gini,child1_entropy,child2_B,child2_M,child2_gini,child2_entropy,combined_gini,combined_entropy
F0,0.3382219574941815,311,32,0.1691812085100597,0.44737173552961296,46,180,0.32422272691675147,0.7289514964064974,0.23076184675243638,0.5592118514490785
F1,0.3239651168803228,254,52,0.2821137169464736,0.6575552420930867,103,160,0.47651404530931485,0.9658465578023805,0.37196835026708386,0.8000519310764684
F2,0.3329350659381915,313,30,0.1596273661484584,0.4279463493851589,44,182,0.3135719320228678,0.7111806626974717,0.22077230795446284,0.5404436337587665
F3,0.21692008640113902,324,41,0.19942203039969963,0.5069005082222842,33,171,0.27119377162629754,0.6385146263620961,0.22515390247391048,0.5540872922302309
F4,0.39478451922974755,222,67,0.35617389638534025,0.781194547239799,135,145,0.4993622448979591,0.9990797181805819,0.4266356496077186,0.8884139635199734
F5,0.2606005281356261,282,44,0.23350521284203385,0.5709107536283142,75,168,0.42676421277244325,0.8915996278279094,0.3160393727420153,0.7078657561423769
F6,0.20805837820342832,319,28,0.14836100291506438,0.40461155975806995,38,184,0.2837432026621216,0.6603769229926888,0.20118147452112187,0.5044005063979389
F7,0.24313690790232234,325,18,0.09944835910207472,0.29683205451508027,32,194,0.2430887305192262,0.5883953722191577,0.15650059801292926,0.41263751989490716
F8,0.37960536826969166,227,78,0.38067186240258,0.8202461547902713,130,134,0.49988521579430667,0.9998343950590574,0.4359835061555076,0.9035700483420455
F9,0.2703793142760695,205,123,0.46875,0.9544340029249649,152,89,0.46583219985881785,0.950128932082931,0.4675141654938051,0.95261058979152
F10,0.10634512266486168,313,61,0.2729989419199863,0.6416782120768196,44,151,0.3494543063773832,0.770334893964339,0.29920069248095715,0.68576969356727
F11,0.18932404240298506,205,128,0.4732660588516444,0.9610798073156572,152,84,0.4584889399597818,0.9392547207311598,0.4671370605063376,0.9520275745670783
F12,0.09937611208187036,314,60,0.26938145214332687,0.6353320243569361,43,152,0.3437738330046023,0.7611027932592763,0.29487620481107507,0.6784344847013235
F13,0.06263579446713657,344,62,0.2587784221893277,0.6165791515164375,13,150,0.14678760962023407,0.40131392165306323,0.2266966955658439,0.5549126621179664
F14,0.18111904376275845,207,141,0.4820154577883472,0.9738959645539288,150,71,0.43610900677709297,0.9057539211144425,0.46418535994390575,0.947429546979014
F15,0.1744385108305818,267,86,0.3685448081599243,0.8010184733704513,90,126,0.48611111111111105,0.9798687566511527,0.4131745470658229,0.8689124297652342
F16,0.08053968773854543,274,82,0.3545638176997854,0.778598444702726,83,130,0.4756551830545086,0.9645871390263367,0.3998932743264217,0.848221629045308
F17,0.22345400800532397,263,59,0.29931329809806706,0.6870919275052252,94,153,0.4714714222491764,0.9584413530839747,0.3740462623604994,0.8048833301729776
F18,0.17814345091703052,215,143,0.47977591211260573,0.9706228615630172,142,69,0.4401518384582557,0.911846684027761,0.46508227495782917,0.9488271261325444
F19,0.10019291165486299,250,111,0.42587150190683,0.8902421949470505,107,101,0.4995839497041421,0.9993996830312173,0.45281735277122526,0.9301451079901203
F20,0.29666274659119135,329,25,0.1312681541064189,0.3682385831246286,28,187,0.22654407787993525,0.558075631837828,0.16726872284333633,0.4399696296507057
F21,0.3639984861032524,249,52,0.28582465977196714,0.6639740075627288,108,160,0.48117620850969045,0.9726699911457107,0.3778355825517735,0.8093703583540103
F22,0.28313766947446856,331,21,0.11219976756198347,0.32609014837723194,26,191,0.2109197477117799,0.528830777022837,0.14984868793545592,0.40340950938970344
F23,0.17090619551102404,348,37,0.17373587451509542,0.4565221392611506,9,175,0.09304111531190928,0.28176157788506534,0.14764125993972416,0.4000090579022759
F24,0.40413784603186037,233,60,0.3256881268273364,0.7313820849991817,124,152,0.49485402226423025,0.992563136012236,0.40774399174927434,0.8580709603587651
F25,0.2202123234825811,292,56,0.270048883604175,0.6365048555378351,65,156,0.4152249134948096,0.8739810481273578,0.3264353556706605,0.7287407756824476
F26,0.217402941936136,301,31,0.16930976919727114,0.4476309725316735,56,181,0.3609108226957931,0.7888108387831283,0.24911548040843057,0.5897392823763041
F27,0.3938358185518697,312,16,0.09280190362879237,0.2811937964320427,45,196,0.3037137790327302,0.6945635321576953,0.18213364698968695,0.45627658432287266
F28,0.26330686216736543,247,75,0.35733575093553505,0.7830656110692555,110,137,0.4940254716517235,0.9913633293445776,0.41667206203728996,0.8734865889497556
F29,0.18959607256459787,257,92,0.38823983382730853,0.8321456643183289,100,120,0.49586776859504145,0.9940302114769565,0.4298534465670295,0.8947372291248281
